Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3576	kaw-zab'	כָּזַב	kâzab	a primitive root; to lie (i.e. deceive), literally or figuratively; fail, (be found a, make a) liar, lie, lying, be in vain.	h3576
h3577	kaw-zawb'	כָּזָב	kâzâb	from {{h3576}}; falsehood; literally (untruth) or figuratively (idol); deceitful, false, leasing,   liar, lie, lying.	h3577
h3570	koo-shee'	כּוּשִׁי	Kûwshîy	the same as {{h3569}}; Cushi, the name of two Israelites; Cushi.	h3570
h3571	koo-sheeth'	כּוּשִׁית	Kûwshîyth	feminine of {{h3569}}; a Cushite woman; Ethiopian.	h3571
h3572	koo-shawn'	כּוּשָׁן	Kûwshân	perhaps from {{h3568}}; Cushan, a region of Arabia; Cushan.	h3572
h3573	koo-shan' rish-awthah'-yim	כּוּשַׁן רִשְׁעָתַיִם	Kûwshan Rishʻâthayim	apparently from {{h3572}} and the dual of {{h7564}}; Cushan of double wickedness; Cushan-Rishathajim, a Mesopotamian king; Chushan-rishathayim.	h3573
h3578	ko-zeb-aw'	כֹּזְבָא	Kôzᵉbâʼ	from {{h3576}}; fallacious; Cozeba, a place in Palestine; Choseba.	h3578
h3579	koz-bee'	כֹּזְבִי	Kôzᵉbîy	from {{h3576}}; false; Cozbi, a Midianitess; Cozbi.	h3579
h3600	keer	כִּיר	kîyr	a form for {{h3564}} (only in the dual); a cooking range (consisting of two parallel stones, across which the boiler is set); ranges for pots.	h3600
h3501	yith-raw'	יִתְרָא	Yithrâʼ	by variation for {{h3502}}; Jithra, an Israelite (or Ishmaelite); Ithra.	h3501
h3503	yith-ro'	יִתְרוֹ	Yithrôw	from {{h3499}} with pron. suffix; his excellence; Jethro, Moses' father-in-law; Jethro. Compare {{h3500}}.	h3503
h3502	yith-raw'	יִתְרָה	yithrâh	feminine of {{h3499}}; properly, excellence, i.e. (by implication) wealth; abundance, riches.	h3502
h3505	yith-ree'	יִתְרִי	Yithrîy	patronymically from {{h3500}}; a Jithrite or descendant of Jether; Ithrite.	h3505
h3504	yith-rone'	יִתְרוֹן	yithrôwn	from {{h3498}}; preeminence, gain; better, excellency(-leth), profit(-able).	h3504
h3507	yith-reh-awm'	יִתְרְעָם	Yithrᵉʻâm	from {{h3499}} and {{h5971}}; excellence of people; Jithream, a son of David; Ithream.	h3507
h3506	yith-rawn'	יִתְרָן	Yithrân	from {{h3498}}; excellent; Jithran, the name of an Edomite and of an Israelite; Ithran.	h3506
h3509	yeh-thayth'	יְתֵת	Yᵉthêth	of uncertain derivation; Jetheth, an Edomite; Jetheth.	h3509
h3508	yo-theh'-reth	יֹתֶרֶת	yôthereth	feminine active participle of {{h3498}}; the lobe or flap of the liver (as if redundant or outhanging); caul.	h3508
h3589	keed	כִּיד	kîyd	from a primitive root meaning to strike; a crushing; figuratively, calamity; destruction.	h3589
h3588	kee	כִּי	kîy	a primitive particle (the full form of the prepositional prefix) indicating causal relations of all kinds, antecedent or consequent; (by implication) very widely used as a relative conjunction or adverb (as below); often largely modified by other particles annexed; and,   (forasmuch, inasmuch, where-) as, assured(-ly),   but, certainly, doubtless,   else, even,   except, for, how, (because, in, so, than) that,   nevertheless, now, rightly, seeing, since, surely, then, therefore,   (al-) though,   till, truly,   until, when, whether, while, whom, yea, yet.	h3588
h3581	ko'-akh	כֹּחַ	kôach	or (Daniel 11:6) כּוֹחַ; from an unused root meaning to be firm; vigor, literally (force, in a good or a bad sense) or figuratively (capacity, means, produce); also (from its hardiness) a large lizard; ability, able, chameleon, force, fruits, might, power(-ful), strength, substance, wealth.	h3581
h3580	kez-eeb'	כְּזִיב	Kᵉzîyb	from {{h3576}}; falsified; Kezib, a place in Palestine; Chezib.	h3580
h3583	kaw-khal'	כָּחַל	kâchal	a primitive root; to paint (with stibium); paint.	h3583
h3582	kaw-khad'	כָּחַד	kâchad	a primitive root; to secrete, by act or word; hence (intensively) to destroy; conceal, cut down (off), desolate, hide.	h3582
h3585	kakh'-ash	כַּחַשׁ	kachash	from {{h3584}}; literally a failure of flesh, i.e. emaciation; figuratively, hypocrisy; leanness, lies, lying.	h3585
h3584	kaw-khash'	כָּחַשׁ	kâchash	a primitive root; to be untrue, in word (to lie, feign, disown) or deed (to disappoint, fail, cringe); deceive, deny, dissemble, fail, deal falsely, be found liars, (be-) lie, lying, submit selves.	h3584
h3587	kee	כִּי	kîy	from {{h3554}}; a brand or scar; burning.	h3587
h3586	kekh-awsh'	כֶּחָשׁ	kechâsh	from {{h3584}}; faithless; lying.	h3586
